id;id_givts;name
1;1;Адыгейский государственный университет
2;2;Алтайский государственный педагогический университет
3;3;Алтайский государственный технический университет им. И.И. Ползунова
4;4;Алтайский государственный университет
5;5;Амурский государственный университет
6;6;Амурский гуманитарно-педагогический государственный университет
7;7;Ангарский государственный технический университет
8;9;Армавирский государственный педагогический университет
9;11;Астраханский государственный университет
10;12;Байкальский государственный университет
11;13;Балтийский государственный технический университет «ВОЕНМЕХ» им. Д.Ф. Устинова
12;14;Башкирский государственный педагогический университет им. М.Акмуллы
13;15;Башкирский государственный университет
14;16;Белгородский государственный технологический университет им. В.Г.Шухова
15;17;Белгородский государственный национальный исследовательский университет
16;19;Алтайский государственный гуманитарно-педагогический университет имени В.М. Шукшина
17;21;Благовещенский государственный педагогический университет
18;23;Братский государственный университет
19;24;Брянский государственный инженерно-технологический университет
20;25;Брянский государственный технический университет
21;26;Брянский государственный университет имени академика И.Г. Петровского
22;27;Бурятский государственный университет имени Доржи Банзарова
23;28;Владивостокский государственный университет экономики и сервиса
24;30;Владимирский государственный университет имени Александра Григорьевича и Николая Григорьевича Столетовых
26;34;Волгоградский государственный социально-педагогический университет
27;35;Волгоградский государственный технический университет
28;36;Волгоградский государственный университет
29;39;Вологодский государственный университет
30;40;Воронежский государственный лесотехнический университет имени Г.Ф. Морозова
31;41;Воронежский государственный университет инженерных технологий
33;43;Воронежский государственный педагогический университет
34;44;Воронежский государственный технический университет
35;45;Воронежский государственный университет
36;46;Восточно-Сибирский государственный университет технологий и управления
37;48;Высшая школа народных искусств (академия)
39;50;Вятский государственный университет
40;51;Гжельский государственный университет
41;52;Глазовский государственный педагогический институт имени В.Г. Короленко
42;53;Горно-Алтайский государственный университет
46;57;Государственный академический университет гуманитарных наук
47;58;Государственный институт русского языка им. А.С. Пушкина
48;59;Национальный исследовательский технологический университет «МИСиС»
49;60;Государственный университет управления
50;61;Грозненский государственный нефтяной технический университет имени академика М.Д. Миллионщикова
51;62;Дагестанский государственный педагогический университет
52;63;Дагестанский государственный технический университет
53;64;Дагестанский государственный университет
54;66;Приамурский государственный университет имени Шолом-Алейхема
55;70;Донской государственный технический университет
56;72;Елецкий государственный университет им. И.А. Бунина
57;76;Ивановский государственный университет
58;77;Ивановский государственный химико-технологический университет
59;78;Ивановский государственный энергетический университет имени В.И. Ленина
60;79;Ижевский государственный технический университет имени М.Т. Калашникова
61;80;Ингушский государственный университет
62;82;Иркутский национальный исследовательский технический университет
63;83;Иркутский государственный университет
64;85;Кабардино-Балкарский государственный университет им. Х.М. Бербекова
65;86;Казанский государственный архитектурно-строительный университет
66;87;Казанский национальный исследовательский технический университет им. А.Н. Туполева-КАИ
67;88;Казанский национальный исследовательский технологический университет
68;91;Казанский государственный энергетический университет
69;92;Калмыцкий государственный университет имени Б.Б. Городовикова
70;93;Калужский государственный университет им. К.Э. Циолковского
71;95;Камчатский государственный университет имени Витуса Беринга
72;96;Северо-Кавказская государственная академия
73;97;Карачаево-Черкесский государственный университет имени У. Д. Алиева
74;99;Кемеровский государственный университет
76;101;Ковровская государственная технологическая академия имени В.А. Дегтярева
77;103;Комсомольский-на-Амуре государственный университет
78;104;Костромской государственный университет
80;106;Красноярский государственный педагогический университет им. В.П. Астафьева
81;108;Кубанский государственный технологический университет
82;109;Кубанский государственный университет
83;111;Кузбасский государственный технический университет имени Т.Ф. Горбачева
84;112;Курганский государственный университет
85;113;Юго-Западный государственный университет
86;114;Курский государственный университет
87;116;Липецкий государственный педагогический университет имени П.П. Семенова-Тян-Шанского
88;117;Липецкий государственный технический университет
89;120;Магнитогорский государственный технический университет им. Г.И. Носова
90;122;Майкопский государственный технологический университет
91;123;Поволжский государственный технологический университет
92;124;Марийский государственный университет
93;126;Мордовский государственный педагогический университет имени М.Е. Евсевьева
94;127;Национальный исследовательский Мордовский государственный университет им. Н.П. Огарёва
96;130;Московский государственный юридический университет имени О.Е. Кутафина (МГЮА)
97;131;Московский авиационный институт (национальный исследовательский университет)
98;132;Московский автомобильно-дорожный государственный технический университет (МАДИ)
99;133;Московский архитектурный институт (государственная академия)
100;134;МИРЭА - Российский технологический университет
101;140;Национальный исследовательский университет «Московский институт электронной техники»
102;141;Московский государственный лингвистический университет
103;143;Московский государственный гуманитарно-экономический университет
104;144;Национальный исследовательский Московский государственный строительный университет
106;147;Московский государственный технический университет имени Н.Э. Баумана (национальный исследовательский университет)
107;148;Московский государственный технологический университет «СТАНКИН»
108;150;Московский государственный университет геодезии и картографии
109;151;Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство)
112;155;Московский государственный университет пищевых производств
113;158;Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)
114;159;Московская государственная художественно-промышленная академия им. С.Г. Строганова
115;160;Московский педагогический государственный университет
116;161;Московский физико-технический институт (национальный исследовательский университет)
